caseid,wsiter,amt1,cpt1,dept1,jelt1,subt1,a01,a08,am01,am02,am03,am04,am05,am06,am07,am08,am09,con12,con13,con14,con15,con17,con01,con03,con05,con09,cp10,cp11,cp12,cp13,cp15,cp02,cp07,cp08,dom01,dom02,dom03,dom04,dom05,dom06,dom07,dom08,dom09
797,632,29,15,14,21,12,0,2,3,4,2,3,1,3,3,3,2,2,2,2,3,2,2,3,2,2,1,2,4,1,3,2,3,2,1,3,3,2,2,2,2,3,1
798,632,28,15,12,16,13,0,1,3,3,1,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,3,2,2,2,2,2,1
799,632,25,12,15,15,10,1,2,3,4,3,3,2,3,2,3,3,1,1,1,3,1,3,1,1,1,2,1,4,1,2,2,1,2,2,3,4,1,1,2,1,1,1
800,632,24,15,17,18,17,1,1,3,2,3,3,2,3,3,3,3,2,2,2,3,2,2,2,2,2,1,2,3,2,2,2,3,1,1,4,4,2,2,3,2,2,2
801,632,27,16,14,16,14,1,1,4,4,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,2,3,3,3,2,2,2,2,2
802,632,27,16,20,18,12,1,1,3,3,2,3,2,3,3,3,2,2,2.03135194128879,2,2,2,2,3,2,2,1,2,3,2,2,2,3,2,1,3,4,2,2,2,2,2,2
803,632,26,19,11,19,10,0,2,2,3,2,3,2,3,3,3,2,2,3,2,2,2,2,3,2,2,2,3,3,2,2,3,3,2,2,3,3,3,2,2,2,2,2
804,632,26,14,10,24,13,0,1,3,3,2,3,2,3,3,3,3,2,2,2,2,2,2,2,3,3,1,3,3,2,2,1,2,1,1,4,3,3,2,3,3,2,2
805,632,24,13,23,27,12,0,2,3,3,4,3,2,3,2,3,2,2,3,2,2,3,2,3,3,3,2,2,3,1,2,1,2,1,3,3,3,4,2,1,4,2,2
806,632,24,15,11,17,10,1,3,3,2,2,3,2,3,3,2,3,2,1,2,2,2,1,2,1,2,2,2,3,2,2,2,2,1,1,3,4,2,2,2,3,1,2
807,632,27,18,14,21,13,0,1,3,3,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,1,3,4,2,2,2,3,2,1
808,632,30,11,12,19,11,0,2,3,2,2,4,1,4,4,3,2,1,3,1,2,1,1,3,3,2,2,1,4,1,1,2,2,1,2,4,4,3,1,1,4,1,1
809,632,26.8003972576928,14.0756030345773,13.7822421228502,19.184568530902,10,0,3,3.07099885292084,2.74458887046173,2.10680596082214,3.0915727231501,1.68155219766696,3.10790449564358,2.65799685499987,3.04255396244675,2.12683346450975,1.56408542269536,1.79570147855719,1.92009313178156,1.97286923846935,1.82078173332705,1.83837304332618,1.78283476896233,1.70322229239809,1.79134365056919,1.36363750032729,1.79486757804306,3.4153848938993,1.41458637754615,2.39939566229253,1.78372042389729,2.11759900569321,1.61718137356406,1.47062234180598,3.38710364271988,3.61542786024676,2.40203597019582,1.47141017555069,2.40560908970352,2.19083121717615,1.77458022910237,1.32918362707194
810,632,25.6376059193351,15.3366569380899,17,20.1277564075073,12,0,3,2.89344943199943,2.63827688232633,2.31735264455921,3.04521165232979,1.84659755525714,3.02607891355492,2.55261334758597,2.94558921611355,2.2996572956127,1.783694729449,1.9675579125674,2.08707235948732,2.16511742125128,2.03324515034056,2.00625548765121,1.9828860080015,1.92068126414187,1.98869930621799,1.50685757246431,1.98867813728405,3.28536261650533,1.60438465589351,2.50119031046953,1.97651596826229,2.25905965512433,1.78533324765732,1.62816081333576,3.22981691396386,3.47907219597315,2.44249635648985,1.58663052131513,2.42475394491555,2.22859231454666,1.93739062130933,1.45774146330576
811,632,25.497509558029,15.4486285649149,14.7603464461862,20.0168868581441,14.2157929861523,1,3,2.94222808346453,2.62074941274547,2.31550278643275,3.06574552014897,2,3.03363078625102,2.54290747029606,2.94381504809383,2.3360446136288,1.76603942466687,1.95065890349329,2.05474767144419,2.17152369046953,2.01835925812423,2.01457806614009,1.94936712412639,1.87330356906817,1.96037888247295,1.50324093456891,1.98675218356562,3.29512828956788,1.63323105852381,2.49563013310112,2.02877499099281,2.32918653146081,1.76694101870769,1.59811747779519,3.298119052004,3.53007228846927,2.47585702021098,1.63577818140904,2.52956543279973,2.24662411413853,1.94381154158409,1.50367973674228
812,632,25,19,16.4070051385764,23.9287435354103,15.8293572457279,1,1,3,3,3,3,2,3,3,3,3,2,3,1,2,3,3,2.67218804912952,4,2,1,3,3,3,3,2,3,2,1,4,4,3,2,2,3,3,2
813,632,20,20,19,24,11,0,2,3,2,4,3,2,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,1,2,3,3,3,2,2,2
814,632,24,16,17,18,12,0,1,3,2,3,3,2,3,3,3,3,2,2,1,2,2,2,2,2,1,2,2,3,2,1,3,2,2,1,3,4,2,2,2,2,1,2
815,632,24,14,14,23,12,0,1,2,2,2,4,2,3,2,3,3,1,1,1,2,1,1,2,1,1,1,2,3,1,2,3,2,1,1,3,4,3,1,2,2,4,1
816,632,22,16,12,29,12,0,1,3,3,4,4,2,4,1,1,3,4,4,2,2,2,1,4,2,2,1,3,4,1,4,3,2,1,2,3,4,4,3,3,4,4,3
817,632,22,19,14,19,13,0,1,3,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,1,4,4,2,2,2,2,2,2
818,632,23,24,18,23,16,1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,4,3,2,3,3,3,3,3,2,2,3
819,632,26.0412776902427,14.9104606766611,15,19.6185040143884,11,1, ,2.94974225012455,2.68628935441007,2.23548853349659,3.04698362283532,1.7988824867193,3.05162565631219,2.59331735745053,2.96020073440988,2.2124907740723,1.71225796400785,1.93965517285684,2.07355728263935,2.14792812569511,2.00692796805847,1.95193546551035,1.92174502790922,1.85933192091194,1.93505871050316,1.49213399412859,1.94199382381524,3.3166262461337,1.53431193595953,2.40556472606025,1.90206100986268,2.21243469434314,1.73858673039448,2,3.18090013450929,3.45249264638537,2.42488252290609,1.57717383428046,2.42331144301967,2.21998564443025,1.85069993891917,1.43692524397977
820,632,27,13,15,21,10,0,1,3,2,1,3,1,3,2,3,2,2,2,3,2,1,2,2,2,2,1,2,3,1,1,3,2,1,1,3,4,2,2,2,2,2,2
821,632,23,18,20,16,11,0,3,3,3,3,2,1,3,2,2,3,2,4,2,2,4,2,3,1,1,2,4,3,1,2,3,3,1,2,3,3,2,2,3,2,1,1
822,632,24.7932527313643,16.2481292795677,17,20.3128365302739,12,1,3,2.74096476560902,2.594814789561,2.44448357941696,2.96880080785067,1.9943155897313,2.95979495683641,2.48961477953458,2.82056128301883,2.34249178592734,1.95536652983857,2.18521702368061,2.34192243430258,2.44860077203281,2.32503708551364,2.13728440239855,2.15638780335282,2.12534309319855,2.17854663026395,1.70967156885914,2.18918800277571,3.15271283540853,1.71976577356404,2.39835572950042,2.08225298775156,2.36003766486684,1.94157037670064,3,2.80211223439606,3.15720449112122,2.4583684044515,1.75251498159234,2.43521514836401,2.27009665344919,1.96638569409352,1.61245529733936
823,632,23.959509579474,17.3100761925798,21,21.5657980421166,12,0,3,2.65205058369178,2.49673963745292,2.57667655260874,2.96234353997848,2.12824155693233,2.91499972641854,2.40860306108909,2.77482368933925,2.5451486307421,2.15562479111092,2.24937779874857,2.35359413205705,2.47390799420917,2.36939239008125,2.26292065226206,2.29697448500736,2.30654775089385,2.31990603490935,1.71436518692277,2.3037109506695,3.06107201790388,1.93588660769671,2.58487449803603,2.31077481209072,2.48600740248711,2.03552874369913,1.87361185254838,2.97869570577567,3.26982476654886,2.51401632703997,1.9498943532075,2.41707993917068,2.34575576425393,2.22991951735722,2
